modCodeStr,dbCodeStr,season,exportDate,fips_st,ID,mean,sd,q_025,q_5,q_975,mode,y,y1
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,19,192,3.021408044954807,0.011130026887994993,2.999354491223894,3.0216545594315893,3.0410977920264144,3.021756243192812,19.5287997146016,3.021828764372923
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,17,193,2.223220098417721,0.011070404502076296,2.2020440169860764,2.2232516827675517,2.2435202025184853,2.223250143252856,8.23687725706809,2.22320386934075
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,18,194,2.0981219828539657,0.011066101483121657,2.0772948820067922,2.0980679874071826,2.1186983528465744,2.098022434785789,7.14927605370142,2.0979290955406547
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,20,195,2.1778700834840086,0.011095663697713453,2.1562097548576813,2.178021260412545,2.197822114275996,2.178076020914953,7.82946740976007,2.178094696801324
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,21,196,3.2754330361080224,0.01112353729170546,3.253447753461357,3.275664254523519,3.2951654721944474,3.2757595698211137,25.4650785652031,3.275826073951042
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,22,197,3.218745442062403,0.011129709599296492,3.1967002772802977,3.218990377271866,3.238442650995834,3.2190901636809417,24.0071196829694,3.2191605716427656
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,25,198,2.426031270884502,0.01107068592519932,2.4048707710810273,2.4260579361455834,2.446345795055873,2.4260517904114156,10.3135259986853,2.4259990009297896
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,24,199,2.449788626566676,0.011088509795745162,2.429582442641575,2.4495678235675533,2.470955845019714,2.449436610550149,10.5796667230091,2.449250691334235
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,23,200,1.9692638115904,0.011099749594910877,1.947555872856918,1.9694267991365089,1.989185340977346,1.9694864837583221,6.16716949281558,1.9695108057925048
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,26,201,2.9364675194099434,0.011072396776110476,2.915241426806182,2.936511501719892,2.9567318073045996,2.9365158599956542,17.8493062411279,2.9364761090325326
